Gene,Description
DCX,Neurons
GAP43,Neurons
MAP2,Neurons
NCAM1,Neurons
NEFL,Neurons
RBFOX3,Neurons
NEUROD1,Neurons
ENO2,Neurons
STMN1,Neurons
SYT1,Neurons
TBR1,Neurons
TUBB3,Neurons
CHAT,Excitatory Neurons
TH,Excitatory Neurons
SLC17A7,Excitatory Neurons
SLC17A6,Excitatory Neurons
ABCG2,Neural Stem Cells
CDH2,Neural Stem Cells
FGFR1,Neural Stem Cells
FZD9,Neural Stem Cells
HES1,Neural Stem Cells
NOTCH1,Neural Stem Cells
OCLN,Neural Stem Cells
PAX6,Neural Stem Cells
SOX1,Neural Stem Cells
SOX2,Neural Stem Cells
