Library_ID,Sample_ID,Tissue_Type,Replicate_Num,Lib
TRA00217382,Endo_1,Endo,One,LIB052393
TRA00217383,Endo_2,Endo.WT,One,LIB052393
TRA00217384,Endo_3,Endo.Neuron,One,LIB052393
TRA00217385,Endo_4,Endo,Two,LIB052393
TRA00217386,Endo_5,Endo.WT,Two,LIB052393
TRA00217387,Endo_6,Endo.Neuron,Two,LIB052393
TRA00217388,Endo_7,Endo,Three,LIB052393
TRA00217389,Endo_8,Endo.WT,Three,LIB052393
TRA00217390,Endo_9,Endo.Neuron,Three,LIB052393
TRA00217391,Endo_10,Endo,Four,LIB052393
TRA00217392,Endo_11,Endo.WT,Four,LIB052393
TRA00217393,Endo_12,Endo.Neuron,Four,LIB052393
TRA00217394,Neuron_1,Neuron,One,LIB052393
TRA00217395,Neuron_2,Neuron.WT,One,LIB052393
TRA00217396,Neuron_3,Neuron.Endo,One,LIB052393
TRA00217397,Neuron_4,Neuron,Two,LIB052393
TRA00217398,Neuron_5,Neuron.WT,Two,LIB052393
TRA00217399,Neuron_6,Neuron.Endo,Two,LIB052393
TRA00217400,Neuron_7,Neuron,Three,LIB052393
TRA00217401,Neuron_8,Neuron.WT,Three,LIB052393
TRA00217402,Neuron_9,Neuron.Endo,Three,LIB052393
TRA00217403,Neuron_10,Neuron,Four,LIB052393
TRA00217404,Neuron_11,Neuron.WT,Four,LIB052393
TRA00217405,Neuron_12,Neuron.Endo,Four,LIB052393
