"","PC1","PC2","group","Tissue_Type","Replicate_Num","name"
"TRA00217382",-11.6821886592158,-3.9019654293707,"Endo:One","Endo","One","TRA00217382"
"TRA00217383",8.65630477298338,6.84959969330381,"Endo.WT:One","Endo.WT","One","TRA00217383"
"TRA00217384",6.06623925297964,6.76622457226722,"Endo.Neuron:One","Endo.Neuron","One","TRA00217384"
"TRA00217385",-24.4780083214567,-9.20705496532393,"Endo:Two","Endo","Two","TRA00217385"
"TRA00217386",-10.8317580800428,-9.75452788641375,"Endo.WT:Two","Endo.WT","Two","TRA00217386"
"TRA00217387",-1.25123555722335,-5.51807337321114,"Endo.Neuron:Two","Endo.Neuron","Two","TRA00217387"
"TRA00217388",2.80885106862286,-9.708017217078,"Endo:Three","Endo","Three","TRA00217388"
"TRA00217389",27.991705754403,-15.3766956242756,"Endo.WT:Three","Endo.WT","Three","TRA00217389"
"TRA00217390",2.35710355235584,9.35887456294955,"Endo.Neuron:Three","Endo.Neuron","Three","TRA00217390"
"TRA00217391",-6.35704156495055,7.73345279840493,"Endo:Four","Endo","Four","TRA00217391"
"TRA00217392",13.9560401858281,7.81491699958345,"Endo.WT:Four","Endo.WT","Four","TRA00217392"
"TRA00217393",-7.2360124042837,14.9432658691641,"Endo.Neuron:Four","Endo.Neuron","Four","TRA00217393"
